File,Density,E/Gpa,Stable
333-15-11-10-15-30-02.txt,1.438,27,FALSE
333-15-11-10-15-30-20.txt,1.317,22.1,FALSE
333-9-11-16-15-30-12.txt,1.23,13.1,FALSE
333-9-11-16-15-30-08.txt,1.322,9.1,FALSE
333-11-11-14-15-30-01.txt,1.351,35.5,TRUE
333-11-11-14-15-30-10.txt,1.253,22.8,TRUE
333-11-11-14-15-30-11.txt,1.289,22.5,TRUE
333-11-11-14-15-30-12.txt,1.294,25.7,TRUE
333-11-11-14-15-30-13.txt,1.361,42.9,TRUE
333-11-11-14-15-30-14.txt,1.292,30.1,TRUE
333-11-11-14-15-30-15.txt,1.222,26.2,TRUE
333-11-11-14-15-30-16.txt,1.393,41.5,TRUE
333-11-11-14-15-30-17.txt,1.297,20,TRUE
333-11-11-14-15-30-18.txt,1.314,28.5,TRUE
333-11-11-14-15-30-19.txt,1.281,21.5,TRUE
333-11-11-14-15-30-02.txt,1.302,27.5,TRUE
333-11-11-14-15-30-20.txt,1.367,35.4,TRUE
333-11-11-14-15-30-03.txt,1.373,41.6,TRUE
333-11-11-14-15-30-04.txt,1.261,24.5,TRUE
333-11-11-14-15-30-05.txt,1.355,41.2,TRUE
333-11-11-14-15-30-06.txt,1.326,29.3,TRUE
333-11-11-14-15-30-07.txt,1.312,26.9,TRUE
333-11-11-14-15-30-08.txt,1.345,35.2,TRUE
333-11-11-14-15-30-09.txt,1.281,24.6,TRUE
333-13-11-12-15-30-01.txt,1.34,36.4,TRUE
333-13-11-12-15-30-10.txt,1.404,48.4,TRUE
333-13-11-12-15-30-11.txt,1.379,34.4,TRUE
333-13-11-12-15-30-12.txt,1.256,27.9,TRUE
333-13-11-12-15-30-13.txt,1.369,36,TRUE
333-13-11-12-15-30-14.txt,1.311,27.5,TRUE
333-13-11-12-15-30-15.txt,1.362,32.7,TRUE
333-13-11-12-15-30-16.txt,1.381,37.8,TRUE
333-13-11-12-15-30-17.txt,1.325,31.4,TRUE
333-13-11-12-15-30-18.txt,1.308,28.9,TRUE
333-13-11-12-15-30-19.txt,1.383,34,TRUE
333-13-11-12-15-30-02.txt,1.393,35.2,TRUE
333-13-11-12-15-30-20.txt,1.41,40.9,TRUE
333-13-11-12-15-30-03.txt,1.34,32.9,TRUE
333-13-11-12-15-30-04.txt,1.385,44.6,TRUE
333-13-11-12-15-30-05.txt,1.406,45.2,TRUE
333-13-11-12-15-30-06.txt,1.309,29.8,TRUE
333-13-11-12-15-30-07.txt,1.371,34.1,TRUE
333-13-11-12-15-30-08.txt,1.385,42.4,TRUE
333-13-11-12-15-30-09.txt,1.364,36.2,TRUE
333-15-11-10-15-30-01.txt,1.37,36.3,TRUE
333-15-11-10-15-30-10.txt,1.357,30,TRUE
333-15-11-10-15-30-11.txt,1.396,34.7,TRUE
333-15-11-10-15-30-12.txt,1.398,40.5,TRUE
333-15-11-10-15-30-13.txt,1.349,32.8,TRUE
333-15-11-10-15-30-14.txt,1.32,30.4,TRUE
333-15-11-10-15-30-15.txt,1.342,32.4,TRUE
333-15-11-10-15-30-16.txt,1.412,40.7,TRUE
333-15-11-10-15-30-17.txt,1.334,24.3,TRUE
333-15-11-10-15-30-18.txt,1.305,24.1,TRUE
333-15-11-10-15-30-19.txt,1.317,24.5,TRUE
333-15-11-10-15-30-03.txt,1.42,42.6,TRUE
333-15-11-10-15-30-04.txt,1.342,28.4,TRUE
333-15-11-10-15-30-05.txt,1.375,36.5,TRUE
333-15-11-10-15-30-06.txt,1.417,43.5,TRUE
333-15-11-10-15-30-07.txt,1.439,47.7,TRUE
333-15-11-10-15-30-08.txt,1.371,36.7,TRUE
333-15-11-10-15-30-09.txt,1.398,39.6,TRUE
333-7-11-18-15-30-01.txt,1.187,19.5,TRUE
333-7-11-18-15-30-10.txt,1.143,15.7,TRUE
333-7-11-18-15-30-11.txt,1.274,27.4,TRUE
333-7-11-18-15-30-12.txt,1.18,14.7,TRUE
333-7-11-18-15-30-13.txt,1.134,14.5,TRUE
333-7-11-18-15-30-14.txt,1.205,18.8,TRUE
333-7-11-18-15-30-15.txt,1.208,17.3,TRUE
333-7-11-18-15-30-16.txt,1.28,28.7,TRUE
333-7-11-18-15-30-17.txt,1.156,15.1,TRUE
333-7-11-18-15-30-18.txt,1.23,24.1,TRUE
333-7-11-18-15-30-19.txt,1.241,20.6,TRUE
333-7-11-18-15-30-02.txt,1.195,18.8,TRUE
333-7-11-18-15-30-20.txt,1.204,20.8,TRUE
333-7-11-18-15-30-03.txt,1.087,13.4,TRUE
333-7-11-18-15-30-04.txt,1.158,13.3,TRUE
333-7-11-18-15-30-05.txt,1.292,32.8,TRUE
333-7-11-18-15-30-06.txt,1.126,13.2,TRUE
333-7-11-18-15-30-07.txt,1.168,15.4,TRUE
333-7-11-18-15-30-08.txt,1.182,19.5,TRUE
333-7-11-18-15-30-09.txt,1.128,14.9,TRUE
333-9-11-16-15-30-01.txt,1.181,16.1,TRUE
333-9-11-16-15-30-10.txt,1.262,19.2,TRUE
333-9-11-16-15-30-11.txt,1.222,21.4,TRUE
333-9-11-16-15-30-13.txt,1.18,15.9,TRUE
333-9-11-16-15-30-14.txt,1.181,15.6,TRUE
333-9-11-16-15-30-15.txt,1.173,17.8,TRUE
333-9-11-16-15-30-16.txt,1.263,22.5,TRUE
333-9-11-16-15-30-17.txt,1.293,31.5,TRUE
333-9-11-16-15-30-18.txt,1.215,19,TRUE
333-9-11-16-15-30-19.txt,1.331,33.2,TRUE
333-9-11-16-15-30-02.txt,1.256,21.1,TRUE
333-9-11-16-15-30-20.txt,1.287,26.8,TRUE
333-9-11-16-15-30-03.txt,1.148,14.3,TRUE
333-9-11-16-15-30-04.txt,1.25,22.6,TRUE
333-9-11-16-15-30-05.txt,1.184,16.5,TRUE
333-9-11-16-15-30-06.txt,1.287,27.2,TRUE
333-9-11-16-15-30-07.txt,1.291,26.6,TRUE
333-9-11-16-15-30-09.txt,1.22,23.4,TRUE
